Away Team,Home Team
Toronto Blue Jays,Baltimore Orioles
Toronto Blue Jays,Baltimore Orioles
Toronto Blue Jays,Baltimore Orioles
Toronto Blue Jays,Baltimore Orioles
Toronto Blue Jays,Baltimore Orioles
Washington Nationals,Baltimore Orioles
Washington Nationals,Baltimore Orioles
Atlanta Braves,Boston Red Sox
Atlanta Braves,Boston Red Sox
Baltimore Orioles,Boston Red Sox
Baltimore Orioles,Boston Red Sox
Baltimore Orioles,Boston Red Sox
Baltimore Orioles,Boston Red Sox
Baltimore Orioles,Boston Red Sox
Baltimore Orioles,Boston Red Sox
Baltimore Orioles,Boston Red Sox
Baltimore Orioles,Boston Red Sox
Baltimore Orioles,Boston Red Sox
Baltimore Orioles,Boston Red Sox
Chicago White Sox,Boston Red Sox
Chicago White Sox,Boston Red Sox
Chicago White Sox,Boston Red Sox
Cincinnati Reds,Boston Red Sox
Cincinnati Reds,Boston Red Sox
Cleveland Guardians,Boston Red Sox
Cleveland Guardians,Boston Red Sox
Cleveland Guardians,Boston Red Sox
Cleveland Guardians,Boston Red Sox
Detroit Tigers,Boston Red Sox
Detroit Tigers,Boston Red Sox
Detroit Tigers,Boston Red Sox
Houston Astros,Boston Red Sox
Houston Astros,Boston Red Sox
Houston Astros,Boston Red Sox
Kansas City Royals,Boston Red Sox
Kansas City Royals,Boston Red Sox
Kansas City Royals,Boston Red Sox
Los Angeles Angels,Boston Red Sox
Los Angeles Angels,Boston Red Sox
Los Angeles Angels,Boston Red Sox
Milwaukee Brewers,Boston Red Sox
Milwaukee Brewers,Boston Red Sox
Milwaukee Brewers,Boston Red Sox
Minnesota Twins,Boston Red Sox
Minnesota Twins,Boston Red Sox
Minnesota Twins,Boston Red Sox
Minnesota Twins,Boston Red Sox
New York Yankees,Boston Red Sox
New York Yankees,Boston Red Sox
New York Yankees,Boston Red Sox
New York Yankees,Boston Red Sox
New York Yankees,Boston Red Sox
New York Yankees,Boston Red Sox
New York Yankees,Boston Red Sox
New York Yankees,Boston Red Sox
New York Yankees,Boston Red Sox
Oakland Athletics,Boston Red Sox
Oakland Athletics,Boston Red Sox
Oakland Athletics,Boston Red Sox
Seattle Mariners,Boston Red Sox
Seattle Mariners,Boston Red Sox
Seattle Mariners,Boston Red Sox
Seattle Mariners,Boston Red Sox
St. Louis Cardinals,Boston Red Sox
St. Louis Cardinals,Boston Red Sox
St. Louis Cardinals,Boston Red Sox
Tampa Bay Rays,Boston Red Sox
Tampa Bay Rays,Boston Red Sox
Tampa Bay Rays,Boston Red Sox
Tampa Bay Rays,Boston Red Sox
Tampa Bay Rays,Boston Red Sox
Tampa Bay Rays,Boston Red Sox
Tampa Bay Rays,Boston Red Sox
Tampa Bay Rays,Boston Red Sox
Tampa Bay Rays,Boston Red Sox
Texas Rangers,Boston Red Sox
Texas Rangers,Boston Red Sox
Texas Rangers,Boston Red Sox
Texas Rangers,Boston Red Sox
Toronto Blue Jays,Boston Red Sox
Toronto Blue Jays,Boston Red Sox
Toronto Blue Jays,Boston Red Sox
Toronto Blue Jays,Boston Red Sox
Toronto Blue Jays,Boston Red Sox
Toronto Blue Jays,Boston Red Sox
Toronto Blue Jays,Boston Red Sox
Toronto Blue Jays,Boston Red Sox
Toronto Blue Jays,Boston Red Sox
Arizona Diamondbacks,Chicago Cubs
Arizona Diamondbacks,Chicago Cubs
Arizona Diamondbacks,Chicago Cubs
Arizona Diamondbacks,Chicago Cubs
Atlanta Braves,Chicago Cubs
Atlanta Braves,Chicago Cubs
Atlanta Braves,Chicago Cubs
Baltimore Orioles,Chicago Cubs
Baltimore Orioles,Chicago Cubs
Boston Red Sox,Chicago Cubs
Boston Red Sox,Chicago Cubs
Boston Red Sox,Chicago Cubs
Chicago White Sox,Chicago Cubs
Chicago White Sox,Chicago Cubs
Cincinnati Reds,Chicago Cubs
Cincinnati Reds,Chicago Cubs
Cincinnati Reds,Chicago Cubs
Cincinnati Reds,Chicago Cubs
Cincinnati Reds,Chicago Cubs
Cincinnati Reds,Chicago Cubs
Cincinnati Reds,Chicago Cubs
Cincinnati Reds,Chicago Cubs
Cincinnati Reds,Chicago Cubs
Colorado Rockies,Chicago Cubs
Colorado Rockies,Chicago Cubs
Colorado Rockies,Chicago Cubs
Los Angeles Dodgers,Chicago Cubs
Los Angeles Dodgers,Chicago Cubs
Los Angeles Dodgers,Chicago Cubs
Miami Marlins,Chicago Cubs
Miami Marlins,Chicago Cubs
Miami Marlins,Chicago Cubs
Milwaukee Brewers,Chicago Cubs
Milwaukee Brewers,Chicago Cubs
Milwaukee Brewers,Chicago Cubs
Milwaukee Brewers,Chicago Cubs
Milwaukee Brewers,Chicago Cubs
Milwaukee Brewers,Chicago Cubs
Milwaukee Brewers,Chicago Cubs
Milwaukee Brewers,Chicago Cubs
Milwaukee Brewers,Chicago Cubs
Milwaukee Brewers,Chicago Cubs
New York Mets,Chicago Cubs
New York Mets,Chicago Cubs
New York Mets,Chicago Cubs
New York Mets,Chicago Cubs
Philadelphia Phillies,Chicago Cubs
Philadelphia Phillies,Chicago Cubs
Philadelphia Phillies,Chicago Cubs
Pittsburgh Pirates,Chicago Cubs
Pittsburgh Pirates,Chicago Cubs
Pittsburgh Pirates,Chicago Cubs
Pittsburgh Pirates,Chicago Cubs
Pittsburgh Pirates,Chicago Cubs
Pittsburgh Pirates,Chicago Cubs
Pittsburgh Pirates,Chicago Cubs
Pittsburgh Pirates,Chicago Cubs
Pittsburgh Pirates,Chicago Cubs
San Diego Padres,Chicago Cubs
San Diego Padres,Chicago Cubs
San Diego Padres,Chicago Cubs
San Diego Padres,Chicago Cubs
San Francisco Giants,Chicago Cubs
San Francisco Giants,Chicago Cubs
San Francisco Giants,Chicago Cubs
St. Louis Cardinals,Chicago Cubs
St. Louis Cardinals,Chicago Cubs
St. Louis Cardinals,Chicago Cubs
St. Louis Cardinals,Chicago Cubs
St. Louis Cardinals,Chicago Cubs
St. Louis Cardinals,Chicago Cubs
St. Louis Cardinals,Chicago Cubs
St. Louis Cardinals,Chicago Cubs
St. Louis Cardinals,Chicago Cubs
St. Louis Cardinals,Chicago Cubs
Tampa Bay Rays,Chicago Cubs
Tampa Bay Rays,Chicago Cubs
Tampa Bay Rays,Chicago Cubs
Washington Nationals,Chicago Cubs
Washington Nationals,Chicago Cubs
Washington Nationals,Chicago Cubs
Arizona Diamondbacks,Chicago White Sox
Arizona Diamondbacks,Chicago White Sox
Arizona Diamondbacks,Chicago White Sox
Baltimore Orioles,Chicago White Sox
Baltimore Orioles,Chicago White Sox
Baltimore Orioles,Chicago White Sox
Baltimore Orioles,Chicago White Sox
Boston Red Sox,Chicago White Sox
Boston Red Sox,Chicago White Sox
Boston Red Sox,Chicago White Sox
Chicago Cubs,Chicago White Sox
Chicago Cubs,Chicago White Sox
Cleveland Guardians,Chicago White Sox
Cleveland Guardians,Chicago White Sox
Cleveland Guardians,Chicago White Sox
Cleveland Guardians,Chicago White Sox
Cleveland Guardians,Chicago White Sox
Cleveland Guardians,Chicago White Sox
Cleveland Guardians,Chicago White Sox
Cleveland Guardians,Chicago White Sox
Cleveland Guardians,Chicago White Sox
Colorado Rockies,Chicago White Sox
Colorado Rockies,Chicago White Sox
Detroit Tigers,Chicago White Sox
Detroit Tigers,Chicago White Sox
Detroit Tigers,Chicago White Sox
Detroit Tigers,Chicago White Sox
Detroit Tigers,Chicago White Sox
Detroit Tigers,Chicago White Sox
Detroit Tigers,Chicago White Sox
Detroit Tigers,Chicago White Sox
Detroit Tigers,Chicago White Sox
Detroit Tigers,Chicago White Sox
Houston Astros,Chicago White Sox
Houston Astros,Chicago White Sox
Houston Astros,Chicago White Sox
Houston Astros,Chicago White Sox
Kansas City Royals,Chicago White Sox
Kansas City Royals,Chicago White Sox
Kansas City Royals,Chicago White Sox
Kansas City Royals,Chicago White Sox
Kansas City Royals,Chicago White Sox
Kansas City Royals,Chicago White Sox
Kansas City Royals,Chicago White Sox
Kansas City Royals,Chicago White Sox
Kansas City Royals,Chicago White Sox
Los Angeles Angels,Chicago White Sox
Los Angeles Angels,Chicago White Sox
Los Angeles Angels,Chicago White Sox
Los Angeles Angels,Chicago White Sox
Los Angeles Dodgers,Chicago White Sox
Los Angeles Dodgers,Chicago White Sox
Los Angeles Dodgers,Chicago White Sox
Minnesota Twins,Chicago White Sox
Minnesota Twins,Chicago White Sox
Minnesota Twins,Chicago White Sox
Minnesota Twins,Chicago White Sox
Minnesota Twins,Chicago White Sox
Minnesota Twins,Chicago White Sox
Minnesota Twins,Chicago White Sox
Minnesota Twins,Chicago White Sox
Minnesota Twins,Chicago White Sox
New York Yankees,Chicago White Sox
New York Yankees,Chicago White Sox
New York Yankees,Chicago White Sox
New York Yankees,Chicago White Sox
Oakland Athletics,Chicago White Sox
Oakland Athletics,Chicago White Sox
Oakland Athletics,Chicago White Sox
Seattle Mariners,Chicago White Sox
Seattle Mariners,Chicago White Sox
Seattle Mariners,Chicago White Sox
Tampa Bay Rays,Chicago White Sox
Tampa Bay Rays,Chicago White Sox
Tampa Bay Rays,Chicago White Sox
Texas Rangers,Chicago White Sox
Texas Rangers,Chicago White Sox
Texas Rangers,Chicago White Sox
Toronto Blue Jays,Chicago White Sox
Toronto Blue Jays,Chicago White Sox
Toronto Blue Jays,Chicago White Sox
Arizona Diamondbacks,Cincinnati Reds
Arizona Diamondbacks,Cincinnati Reds
Arizona Diamondbacks,Cincinnati Reds
Arizona Diamondbacks,Cincinnati Reds
Atlanta Braves,Cincinnati Reds
Atlanta Braves,Cincinnati Reds
Atlanta Braves,Cincinnati Reds
Baltimore Orioles,Cincinnati Reds
Baltimore Orioles,Cincinnati Reds
Baltimore Orioles,Cincinnati Reds
Boston Red Sox,Cincinnati Reds
Boston Red Sox,Cincinnati Reds
Chicago Cubs,Cincinnati Reds
Chicago Cubs,Cincinnati Reds
Chicago Cubs,Cincinnati Reds
Chicago Cubs,Cincinnati Reds
Chicago Cubs,Cincinnati Reds
Chicago Cubs,Cincinnati Reds
Chicago Cubs,Cincinnati Reds
Chicago Cubs,Cincinnati Reds
Chicago Cubs,Cincinnati Reds
Chicago Cubs,Cincinnati Reds
Cleveland Guardians,Cincinnati Reds
Cleveland Guardians,Cincinnati Reds
Colorado Rockies,Cincinnati Reds
Colorado Rockies,Cincinnati Reds
Colorado Rockies,Cincinnati Reds
Los Angeles Dodgers,Cincinnati Reds
Los Angeles Dodgers,Cincinnati Reds
Los Angeles Dodgers,Cincinnati Reds
Miami Marlins,Cincinnati Reds
Miami Marlins,Cincinnati Reds
Miami Marlins,Cincinnati Reds
Miami Marlins,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds
Milwaukee Brewers,Cincinnati Reds
New York Mets,Cincinnati Reds
New York Mets,Cincinnati Reds
New York Mets,Cincinnati Reds
Philadelphia Phillies,Cincinnati Reds
Philadelphia Phillies,Cincinnati Reds
Philadelphia Phillies,Cincinnati Reds
Pittsburgh Pirates,Cincinnati Reds
Pittsburgh Pirates,Cincinnati Reds
Pittsburgh Pirates,Cincinnati Reds
Pittsburgh Pirates,Cincinnati Reds
Pittsburgh Pirates,Cincinnati Reds
Pittsburgh Pirates,Cincinnati Reds
Pittsburgh Pirates,Cincinnati Reds
Pittsburgh Pirates,Cincinnati Reds
Pittsburgh Pirates,Cincinnati Reds
San Diego Padres,Cincinnati Reds
San Diego Padres,Cincinnati Reds
San Diego Padres,Cincinnati Reds
San Francisco Giants,Cincinnati Reds
San Francisco Giants,Cincinnati Reds
San Francisco Giants,Cincinnati Reds
St. Louis Cardinals,Cincinnati Reds
St. Louis Cardinals,Cincinnati Reds
St. Louis Cardinals,Cincinnati Reds
St. Louis Cardinals,Cincinnati Reds
St. Louis Cardinals,Cincinnati Reds
St. Louis Cardinals,Cincinnati Reds
St. Louis Cardinals,Cincinnati Reds
St. Louis Cardinals,Cincinnati Reds
St. Louis Cardinals,Cincinnati Reds
Tampa Bay Rays,Cincinnati Reds
Tampa Bay Rays,Cincinnati Reds
Tampa Bay Rays,Cincinnati Reds
Washington Nationals,Cincinnati Reds
Washington Nationals,Cincinnati Reds
Washington Nationals,Cincinnati Reds
Washington Nationals,Cincinnati Reds
Arizona Diamondbacks,Cleveland Guardians
Arizona Diamondbacks,Cleveland Guardians
Arizona Diamondbacks,Cleveland Guardians
Baltimore Orioles,Cleveland Guardians
Baltimore Orioles,Cleveland Guardians
Baltimore Orioles,Cleveland Guardians
Boston Red Sox,Cleveland Guardians
Boston Red Sox,Cleveland Guardians
Boston Red Sox,Cleveland Guardians
Chicago White Sox,Cleveland Guardians
Chicago White Sox,Cleveland Guardians
Chicago White Sox,Cleveland Guardians
Chicago White Sox,Cleveland Guardians
Chicago White Sox,Cleveland Guardians
Chicago White Sox,Cleveland Guardians
Chicago White Sox,Cleveland Guardians
Chicago White Sox,Cleveland Guardians
Chicago White Sox,Cleveland Guardians
Chicago White Sox,Cleveland Guardians
Cincinnati Reds,Cleveland Guardians
Cincinnati Reds,Cleveland Guardians
Detroit Tigers,Cleveland Guardians
Detroit Tigers,Cleveland Guardians
Detroit Tigers,Cleveland Guardians
Detroit Tigers,Cleveland Guardians
Detroit Tigers,Cleveland Guardians
Detroit Tigers,Cleveland Guardians
Detroit Tigers,Cleveland Guardians
Detroit Tigers,Cleveland Guardians
Detroit Tigers,Cleveland Guardians
Houston Astros,Cleveland Guardians
Houston Astros,Cleveland Guardians
Houston Astros,Cleveland Guardians
Houston Astros,Cleveland Guardians
Kansas City Royals,Cleveland Guardians
Kansas City Royals,Cleveland Guardians
Kansas City Royals,Cleveland Guardians
Kansas City Royals,Cleveland Guardians
Kansas City Royals,Cleveland Guardians
Kansas City Royals,Cleveland Guardians
Kansas City Royals,Cleveland Guardians
Kansas City Royals,Cleveland Guardians
Kansas City Royals,Cleveland Guardians
Los Angeles Angels,Cleveland Guardians
Los Angeles Angels,Cleveland Guardians
Los Angeles Angels,Cleveland Guardians
Minnesota Twins,Cleveland Guardians
Minnesota Twins,Cleveland Guardians
Minnesota Twins,Cleveland Guardians
Minnesota Twins,Cleveland Guardians
